"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE","PP","Vox","Unidas Podemos","Cs","ERC-Sobiranistes","Mas Pais","JxCat","PNV","EH Bildu","CUP","CC-NCa","BNG","NA+","PRC","v1x2","last_day","fuente","titular","urlDW"
"148","KeyData/Publico","5 Mar 2020",NA,71.2,27.7,20.6,16,13.6,6,3.4,1.9,2.1,1.6,0.9,0.9,0.5,NA,NA,NA,"7.1",2020-03-05,"https://www.publico.es/politica/coalicion-unidas-revierte-caida-sondeos-volveria-crecer-votos-escanos.html","Tras la coalicion, Unidas Podemos revierte su caida en los sondeos y volveria a crecer en votos y escanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> KeyData/Publico </a>"
"149","ElectoPanel/Electomania","1-5 Mar 2020",1250,NA,27.7,20.3,17,13.2,5.5,3.7,1.9,2.7,1.4,1.1,0.9,0.5,0.5,"0.4","0.3","7.4",2020-03-05,"https://electomania.es/electopanel-generales-6m-los-bloques-vuelven-a-igualarse/","ElectoPanel Generales (6M): los bloques vuelven a igualarse","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"150","SW Demoscopia","24-28 Feb 2020",1302,NA,27.8,19.7,18.8,13.2,3.9,3.6,2.4,2.3,1.6,1.1,1,0.6,NA,"0.4","0.3","8.1",2020-02-28,"http://swdemoscopia.com/2020/02/29/barometro-marzo-sw-demoscopia/","Barometro Marzo SW Demoscopia","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia </a>"
"151","ElectoPanel/Electomania","23-25 Feb 2020",1250,NA,27.7,20.4,17,13.3,5.3,3.6,1.8,2.7,1.5,1.1,0.9,0.5,0.5,"0.4","0.2","7.3",2020-02-25,"https://electomania.es/electopanel-generales-25f-la-descomposicion-de-cs-que-perderia-el-grupo-propio-da-alas-a-pp-y-vox/","ElectoPanel Generales (25F): la descomposicion de Cs, que perderia el grupo propio, da alas a PP y Vox","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"152","Invymark/laSexta","17-21 Feb 2020",NA,NA,29.1,21,17,13.4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.1",2020-02-21,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-se-mantiene-como-primera-fuerza-con-el-29-del-voto_202002235e5281750cf2a8ef1789f1bc.html","Barometro laSexta: el PSOE se mantiene como primera fuerza con el 29% del voto","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"153","NC Report/La Razon","6-14 Feb 2020",1000,62.9,26.9,22.2,16.1,13.2,5.6,3.4,1.7,2.9,1.5,1.1,0.9,0.5,0.5,"0.5","0.3","4.7",2020-02-14,"https://www.larazon.es/espana/20200217/2p3gexyx6rfuncs6n7t5lbjdui.html","La coalicion de gobierno solo desgasta al PSOE","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"154","Simple Logica","3-11 Feb 2020",1073,67.5,28.5,17.6,16.1,14,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.9",2020-02-11,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-febrero-2020/","Intencion de voto y valoracion de lideres politicos (febrero 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"155","CIS","1-11 Feb 2020",2957,NA,30.9,18.9,13.4,13.6,8.1,3.3,1.6,1.8,1.3,1.1,1,0.2,0.7,"0.3","0.1","12.0",2020-02-11,"http://datos.cis.es/pdf/Es3273marMT_A.pdf","Barometro de febrero 2020 (Estudio nº 3273. Febrero 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS </a>"
"156","CIS (SocioMetrica)","1-11 Feb 2020",2957,65.1,28.2,19.9,14.2,14,8.2,3.6,2.3,2,1.4,1.2,1,0.2,0.5,"0.3","0.1","8.3",2020-02-11,NA,NA,"<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS (SocioMetrica) </a>"
"157","Celeste-Tel/eldiario.es","3-7 Feb 2020",1100,63.8,27.6,20.2,16.9,13.5,6.2,3.3,2,2.7,1.5,1.1,1,0.5,0.5,"0.4","0.3","7.4",2020-02-07,"https://www.eldiario.es/politica/Gobierno_0_994950716.html","Los partidos del Gobierno mantendrian su peso electoral mientras Vox sigue creciendo a costa del PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/eldiario.es </a>"
"158","ElectoPanel/Electomania","3-5 Feb 2020",1490,NA,27.2,19.9,16.8,13.4,6.1,3.7,1.8,2.7,1.5,1.1,0.9,0.5,0.5,"0.4","0.2","7.3",2020-02-05,"https://electomania.es/epgen10f","ElectoPanel generales (10F): vuelve el empate entre bloques. ERC sube y saca 1p a JxCat","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"159","ElectoPanel/Electomania","30 Jan-1 Feb 2020",1250,NA,26.7,19.8,16.9,13.6,6.8,3.4,1.8,3,1.5,1.1,0.8,0.5,0.5,"0.4","0.2","6.9",2020-02-01,"https://electomania.es/ep2f2020/","ElectoPanel (2F): Junts Per Catalunya alcanza el 3% y se acerca al 'sorpasso' a ERC, que baja","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"160","Invymark/laSexta","27-31 Jan 2020",NA,NA,29.7,20.4,16.8,13.5,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.3",2020-01-31,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-alcanza-el-297-del-voto-ya-decidido_202002025e36d4f20cf2e7657595d56d.html","Barometro laSexta: Los socialistas retienen el 29,7% del voto ya decidido","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"161","SW Demoscopia","27-31 Jan 2020",1307,NA,27,19.4,18.7,13.7,4.7,3.8,2.2,2.3,1.6,1,1.1,0.6,NA,"0.4","0.3","7.6",2020-01-31,"http://swdemoscopia.com/2020/02/01/ii-barometro-sw-espana-febrero-2020/","II Barometro SW Espana. Febrero 2020","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia </a>"
"162","Metroscopia","13-29 Jan 2020",4237,NA,26.8,20.5,15.3,13.3,6.1,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,"6.3",2020-01-29,"https://www.publico.es/politica/sondeo-metroscopia-bloque-izquierdas-mantiene-fuerza-frente-derechas-psoe-baja.html","El bloque de izquierdas mantiene su fuerza frente a las derechas, pero el PSOE baja","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Metroscopia </a>"
"163","ElectoPanel/Electomania","21-23 Jan 2020",1250,NA,26.3,19.4,17.1,13.7,6.8,3.7,1.8,2.7,1.5,1.2,0.9,0.5,0.5,"0.4","0.2","6.9",2020-01-23,"https://electomania.es/electopanel-24e-repunte-de-la-derecha-en-la-ultima-semana/","ElectoPanel 24E: repunte de la derecha en la ultima semana","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"164","KeyData/Publico","21 Jan 2020",NA,69,27.7,21,15.6,14,5.8,3.4,1.8,2.3,1.6,1.1,0.9,0.6,NA,NA,NA,"6.7",2020-01-21,"https://www.publico.es/politica/sondeos-electorales-vox-refuerza-giro-ultra-derecha-cs-hunde-debajo-jxcat.html","Vox se refuerza con el giro ultra de la derecha y Cs se hunde por debajo de JxCat","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> KeyData/Publico </a>"
"165","SocioMetrica/El Espanol","15-18 Jan 2020",1100,NA,27.7,21.2,16.3,12.5,5.5,3.6,2.1,2.2,1.6,1.1,1,0.5,0.5,"0.4","0.3","6.5",2020-01-18,"https://www.elespanol.com/espana/politica/20200121/vox-llega-escanos-partido-gobierno-psoe-podemos/461204919_0.html","Vox llega a 60 escanos, el unico partido que crece tras el pacto de Gobierno entre PSOE y Podemos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SocioMetrica/El Espanol </a>"
"166","Invymark/laSexta","13-17 Jan 2020",NA,NA,30.3,20.2,16.6,13.6,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1",2020-01-17,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-volveria-ganar-las-elecciones-ampliando-su-margen-con-el-pp-y-vox-ganaria-mas-apoyos_202001195e2459f20cf20f1d1a881bee.html","Barometro laSexta: El PSOE volveria ganar las elecciones ampliando su margen con el PP y Vox ganaria mas apoyos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"167","NC Report/La Razon","7-17 Jan 2020",1000,63.5,26.7,22.1,16.1,13.4,5.4,3.3,1.8,2.6,1.5,1,1.1,0.5,0.5,"0.5","0.3","4.6",2020-01-17,"https://www.larazon.es/espana/20200120/bubd4n2bwbcvfghbhgqoox53sa.html","El Gobierno progresista alimenta a Vox y a Podemos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"168","ElectoPanel/Electomania","13-15 Jan 2020",2500,NA,26.4,19.1,16.9,14,7.2,3.7,1.8,2.7,1.5,1.2,0.8,0.5,0.5,"0.4","0.2","7.3",2020-01-15,"https://electomania.es/electopanel-19e-los-bloques-siguen-igualados-con-una-ligera-recuperacion-de-ciudadanos/","ElectoPanel (19e): los bloques siguen igualados, con una ligera recuperacion de Ciudadanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"169","CIS","2-13 Jan 2020",2929,NA,30.4,19.9,13.4,13.8,6.5,3.9,1.8,1.4,1.6,1.3,1,0.3,0.5,"0.1",NA,"10.5",2020-01-13,"http://datos.cis.es/pdf/Es3271marMT_A.pdf","Barometro de enero 2020 (Estudio nº 3271. Enero 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS </a>"
"170","CIS (Kiko Llaneras)","2-13 Jan 2020",2929,NA,28,22,14.5,12.5,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"6.0",2020-01-13,NA,NA,"<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS (Kiko Llaneras) </a>"
"171","CIS (SocioMetrica)","2-13 Jan 2020",2929,66.5,27.4,21.7,14.4,13.1,7.1,3.5,1.5,1.8,1.6,1.3,1,0.4,0.4,"0.1","0.0","5.7",2020-01-13,NA,NA,"<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS (SocioMetrica) </a>"
"172","Simple Logica","7-10 Jan 2020",1097,66.4,26.5,20.3,14.4,15.5,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.2",2020-01-10,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-enero-2020/","Intencion de voto y valoracion de lideres politicos (enero 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"173","Invymark/laSexta","7-10 Jan 2020",NA,NA,29.9,20.7,16.4,13.3,4,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,"9.2",2020-01-10,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-las-elecciones-con-mas-votos-que-el-10n-aglutinaria-el-299-de-los-votos_202001125e1b23eb0cf2b262340a155b.html","Barometro laSexta: El PSOE ganaria las elecciones con mas apoyos que el 10N: aglutinaria el 29,9% de los votos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"174","GAD3/ABC","7-10 Jan 2020",1000,NA,26.3,23.2,15,12.4,7.3,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,"3.1",2020-01-10,"https://www.abc.es/espana/abci-cesiones-sanchez-dejan-psoe-109-escanos-y-pp-103-202001120244_noticia.html","Las cesiones de Sanchez dejan al PSOE en 109 escanos y al PP en 103","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GAD3/ABC </a>"
"175","Celeste-Tel/eldiario.es","2-9 Jan 2020",1100,64.1,27,20.3,16.4,13.9,6.1,3.2,2,2.8,1.4,1.1,1.3,0.5,0.5,"0.4","0.3","6.7",2020-01-09,"https://www.eldiario.es/politica/Vox-incrementaria-Congreso-Celeste-Tel-investidura_0_984452264.html","Vox aumentaria su presencia en el Congreso en cinco diputados, segun una encuesta de Celeste-Tel realizada durante la investidura","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/eldiario.es </a>"
"176","ElectoPanel/Electomania","7-8 Jan 2020",1250,NA,26.6,19.1,17.1,14,6.8,3.6,1.8,2.7,1.5,1.2,0.8,0.5,0.5,"0.4","0.2","7.5",2020-01-08,"https://electomania.es/ep9e2020/","ElectoPanel (9e): Vox da otro bocado al PP tras la investidura y alcanza el 17%. Teruel Existe, reforzado, roza el 30% en su provincia","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"177","SW Demoscopia","30 Dec-2 Jan 2020",1304,NA,26.9,19.5,18.6,13.3,4.9,3.7,2.6,2.2,1.6,1.1,1,0.6,NA,"0.4","0.3","7.4",2020-01-02,"http://swdemoscopia.com/2020/01/02/primer-barometro-del-a-o-de-sw-demoscopia/","Primer Barometro del ano de SW Demoscopia","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia </a>"
"178","ElectoPanel/Electomania","29 Dec-2 Jan 2020",1250,NA,26.8,19.9,16.7,14.2,6.6,3.4,1.8,2.6,1.6,1.2,0.9,0.5,0.5,"0.4","0.3","6.9",2020-01-02,"https://electomania.es/electopanel-3e2020-subida-de-vox-que-roza-los-60-escanos-y-up-que-roza-los-40/","ElectoPanel (3e2020): subida de Vox, que roza los 60 escanos y UP, que roza los 40","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"179","ElectoPanel/Electomania","25-28 Dec 2019",1250,NA,26.6,20.4,16.2,13.7,6.8,3.3,1.6,2.6,1.6,1.2,0.8,0.5,0.5,"0.4","0.3","6.2",2019-12-28,"https://electomania.es/ep29d/","ElectoPanel (29D): sigue el empate entre bloques. Bajan Cs y Vox, suben UP y PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"180","Sigma Dos/El Mundo","26-27 Dec 2019",1000,NA,27.5,20.1,16,15.4,4.8,3.5,2.3,2,1.6,NA,NA,NA,NA,NA,NA,"7.4",2019-12-27,"https://www.elmundo.es/espana/2020/01/02/5e0cde3dfdddffaa548b459f.html","La polarizacion dispara a Vox y Unidas Podemos a costa de PP y PSOE","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/El Mundo </a>"
"181","KeyData/Publico","23 Dec 2019",NA,74.3,26.4,20.4,15,12.8,6,3.4,1.8,1.9,1.5,1.1,NA,0.5,NA,NA,NA,"6.0",2019-12-23,"https://www.publico.es/politica/encuestas-electorales-pacto-sanchez-iglesias-no-penalizaria-izquierda-nuevas-elecciones.html","El pacto Sanchez-Iglesias no penalizaria a la izquierda en unas nuevas elecciones","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> KeyData/Publico </a>"
"182","SocioMetrica/El Espanol","20-21 Dec 2019",2160,NA,27.2,21.6,16.2,12.6,5.8,3.8,2,2.6,1.8,1.1,0.9,0.6,0.5,"0.3","0.3","5.6",2019-12-21,"https://www.elespanol.com/espana/politica/20191223/vox-superaria-rozaria-escanos-celebrasen-terceras-elecciones/453955181_0.html","Vox superaria el 16% y rozaria los 60 escanos si se celebrasen unas terceras elecciones","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SocioMetrica/El Espanol </a>"
"183","ElectoPanel/Electomania","17-19 Dec 2019",1250,NA,26.7,20.1,16.6,13.4,7.3,3.3,1.9,2.6,1.6,1.2,0.8,0.5,0.5,"0.4","0.3","6.6",2019-12-19,"https://electomania.es/electopanel-19d-vuelve-el-empate-entre-bloques-teruel-existe-continua-siendo-primera-fuerza-en-su-provincia/","ElectoPanel (19D): vuelve el empate entre bloques. Teruel Existe continua siendo primera fuerza en su provincia","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"184","CIS","29 Nov-19 Dec 2019",4800,NA,28.3,20,15.2,12.8,5.6,3.6,2.3,2.2,1.6,1.1,1,0.5,0.5,"0.4","0.3","8.3",2019-12-19,"http://datos.cis.es/pdf/Es3269marMT_A.pdf","Barometro de diciembre 2019. Postelectoral elecciones generales 2019 (Estudio nº 3269. Noviembre-diciembre 2019)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS </a>"
"185","NC Report/La Razon","10-13 Dec 2019",1000,64.9,27.1,21.6,15.6,13.1,5.8,3.5,2,2.3,1.5,1.1,1.1,0.5,0.5,"0.5","0.3","5.5",2019-12-13,"https://www.larazon.es/espana/20191215/wesbuuc4dbb5rjcl6levueatvy.html","ERC penaliza a Sanchez","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"186","Invymark/laSexta","9-13 Dec 2019",NA,NA,28.8,21.6,16.4,13.7,3.9,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,"7.2",2019-12-13,"https://www.lasexta.com/noticias/nacional/barometro-de-lasexta-el-psoe-volveria-a-ganar-las-elecciones-generales-y-ciudadanos-sufriria-otra-gran-caida_201912155df63b7c0cf22f4755c8171b.html","Barometro de laSexta: el PSOE volveria a ganar las elecciones generales y Ciudadanos sufriria otra gran caida","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"187","ElectoPanel/Electomania","10-12 Dec 2019",1250,NA,26.6,19.6,16.6,13.7,7.6,3.2,1.8,2.7,1.6,1.1,0.7,0.5,0.5,"0.4","0.3","7.0",2019-12-12,"https://electomania.es/ep12dic/","ElectoPanel (12/12): el bloque de otros partidos, cada vez mas grande. ERC adelanta a Junts en su lucha por el dominio catalan","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"188","Simple Logica","2-12 Dec 2019",1064,64.9,27,20.5,13.8,16.4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.5",2019-12-12,"https://www.simplelogica.com/es/resultado-de-las-elecciones-intencion-de-voto-y-valoracion-de-lideres-diciembre-2019/","Resultado de las Elecciones, intencion de voto y valoracion de lideres (diciembre 2019)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"189","ElectoPanel/Electomania","3-5 Dec 2019",1250,NA,26.8,19.5,16.5,13.8,7.1,3.1,1.7,2.8,1.6,1.1,0.7,0.5,0.5,"0.4","0.3","7.3",2019-12-05,"https://electomania.es/ep5dic/","ElectoPanel (5Dic): empate entre bloques. Sanchez se recupera, Ciudadanos vuelve a bajar","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"190","ElectoPanel/Electomania","21-27 Nov 2019",1250,NA,26.3,19.3,16.7,13.6,7.7,3.5,2.1,2.5,1.6,1.2,0.9,0.5,0.5,"0.4","0.3","7.0",2019-11-27,"https://electomania.es/ep28n/","ElectoPanel (28N): Vox a 2,5 puntos del sorpasso al PP. Ciudadanos empata con ERC a escanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"191","GAD3/ABC","19-27 Nov 2019",NA,NA,27.7,23,14.1,13,6.5,3.4,1.8,2,1.6,1,1,0.5,0.7,"0.4","0.2","4.7",2019-11-27,"https://www.abc.es/espana/abci-psoe-retrocede-tras-10-n-y-pp-gana-10-escanos-baja-201912010218_noticia.html","El PSOE retrocede tras el 10-N y el PP gana 10 escanos con Vox a la baja","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GAD3/ABC </a>"
"192","ElectoPanel/Electomania","13-20 Nov 2019",1250,NA,26.4,20.1,16.3,13.6,7.3,3.6,2.1,2.2,1.6,1.1,1,0.5,0.5,"0.4","0.3","6.3",2019-11-20,"https://electomania.es/ep21n/","ElectoPanel (21N): Vox supera el 16% y roza los 60 escanos. Ligera recuperacion de Ciudadanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"193","ElectoPanel/Electomania","12 Nov 2019",1510,NA,27.5,21.4,15.6,13.7,5.8,3.6,2,2.2,1.6,1.2,1,0.5,0.5,"0.4","0.3","6.1",2019-11-12,"https://electomania.es/ep14n/","ElectoPanel (14N): Ciudadanos, desplomado, lucharia por mantener representacion en el Congreso (y por el grupo propio)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
